Задолженность,"Просрочка, дни",Первоначльный лимит,BIRTHDATE,SEX,EDU,INCOME,TERM,Рейтинг кредитной истории,LV_AREA,LV_SETTLEMENTNAME,INDUSTRYNAME,PDN,CLIENTID,SCORINGMARK,UNDERAGECHILDRENCOUNT,VELCOMSCORING,FAMILYSTATUS
6063.5,3,7000.0,1983-07-08,Мужской,Среднее специальное,703.07,60,A1,Гомельская область,КОСАКОВКА,АПК,0.98,919517,233.0,0,,1
3765.04,0,5000.0,1987-12-19,Женский,Высшее,1693.68,60,B2,,МИНСК,Финансы и страхование,0.17,539353,,1,,1
2067.66,0,2650.0,1966-02-28,Женский,Среднее,724.49,60,C2,ГРОДНЕНСКАЯ,ЁДКИ,Медицина и здравоохранение,0.4,818913,,0,,2
2370.39,0,3000.0,1972-02-18,Женский,Среднее специальное,1045.84,60,A3,МИНСКАЯ,ФАНИПОЛЬ,Государственное управление,0.29,691598,216.0,0,,2
2280.55,0,3000.0,1997-02-23,Женский,Высшее,1092.65,60,B3,,Минск,Медицина и здравоохранение,0.63,425193,,0,,2
839.91,0,1000.0,1988-02-08,Мужской,Высшее,3341.23,60,C1,БРЕСТСКАЯ,БРЕСТ,Производство,0.1,476562,246.0,0,,2
1065.19,0,2000.0,1990-05-17,Женский,Высшее,983.6,24,C2,г. Минск,МИНСК,Услуги населению,0.25,914643,74.0,1,,2
2675.67,62,3000.0,1999-08-13,Женский,Среднее специальное,1076.35,60,D1,ГОМЕЛЬСКАЯ,ГОМЕЛЬ,Производство,0.16,918315,85.0,0,,2
2496.93,0,3500.0,1982-01-11,Мужской,Среднее специальное,1195.75,36,,Минская область,РОМАНОВЩИНА,АПК,0.12,922922,166.0,3,,1
5024.11,0,5800.0,1973-04-13,Мужской,Среднее специальное,3260.93,60,D2,г. Минск,Минск,Производство,0.4,926420,136.0,3,,1
577.24,0,1000.0,1980-05-23,Мужской,Среднее специальное,626.94,24,C3,г. Минск,МИНСК,Строительство,0.31,398318,122.0,0,,1
11944.12,0,14000.0,1964-04-19,Мужской,Среднее специальное,1378.33,60,A2,ГРОДНЕНСКАЯ,ГРОДНО,Строительство,0.29,914651,224.0,0,,1
820.52,0,2000.0,1994-03-31,Мужской,Среднее специальное,583.08,60,B3,БРЕСТСКАЯ,БРЕСТ,Услуги населению,0.45,820096,,0,,2
4751.66,0,6000.0,1968-05-04,Женский,Среднее специальное,670.99,60,B1,,ГОМЕЛЬ,Производство,0.7,831037,,0,,2
2341.35,0,3000.0,1979-12-17,Мужской,Среднее,889.37,60,C1,ГРОДНЕНСКАЯ,ОШМЯНЫ,Торговля,0.3,777306,,3,,1
535.96,0,1000.0,1998-10-27,Мужской,Высшее,1883.1,24,C2,,ГРОДНО,Государственное управление,0.13,868274,113.0,0,,2
1031.41,0,1500.0,1974-10-22,Мужской,Среднее специальное,2800.63,36,D1,Гомельская область,Светлогорск,Производство,0.17,815106,104.0,0,,1
687.61,0,1000.0,1985-07-17,Женский,Среднее,1017.62,36,D3,г. Минск,Минск,Торговля,0.11,482716,142.0,2,,1
1443.81,0,1850.0,1965-09-03,Женский,Высшее,1080.27,60,C2,МИНСКАЯ,МИНСК,Медицина и здравоохранение,0.4,758981,,0,,1
3464.9,0,4000.0,1995-06-07,Мужской,Высшее,3720.4,60,B2,г. Минск,МИНСК,Информационные технологии,0.31,826541,296.0,1,,1
17063.05,0,20000.0,1991-06-02,Мужской,Среднее специальное,1607.53,60,A3,Брестская область,КОБРИН,Транспорт/перевозки,0.36,661743,179.0,1,,1
2887.88,0,4200.0,1991-09-19,Мужской,Среднее специальное,2599.44,36,B3,г. Минск,МИНСК,Производство,0.5,903962,232.0,0,,1
2849.67,0,4000.0,1988-07-05,Мужской,Среднее специальное,1349.45,36,A3,г. Минск,МИНСК,Торговля,0.12,914659,213.0,2,,2
839.91,0,1000.0,1980-11-29,Женский,Среднее специальное,678.57,60,C2,г. Минск,МИНСК,Медицина и здравоохранение,0.29,552810,111.0,1,,1
1508.87,0,1800.0,1988-09-05,Мужской,Среднее специальное,1203.82,60,B2,Минская область,РУССКОЕ СЕЛО,АПК,0.9,819478,238.0,1,,1
346.75,0,1900.0,1993-01-26,Женский,Высшее,1604.76,60,C1,,Минск,Строительство,0.4,479757,,0,,2
1582.47,0,2000.0,1992-08-08,Женский,Высшее,1678.77,60,B1,,Минск,Иное,0.5,349206,232.0,0,,1
780.52,0,1000.0,1970-08-24,Женский,Среднее специальное,2064.05,60,B2,,МИНСК,Производство,0.48,822489,,0,,2
853.13,0,1000.0,1967-10-18,Мужской,Среднее специальное,767.95,60,C1,Гродненская область,КОСТРОВИЧИ,Наука и образование,0.4,920260,192.0,0,,1
1425.4,0,2000.0,1996-12-29,Женский,Среднее специальное,553.1,36,C3,Могилевская область,КРАСНОПОЛЬЕ,Медицина и здравоохранение,0.25,914664,195.0,1,,1
893.84,0,1300.0,1988-03-30,Женский,Высшее,1634.0,36,C3,г. Минск,МИНСК,Наука и образование,0.4,905205,236.0,1,,1
9033.67,0,10450.0,1970-04-20,Мужской,Высшее,881.2,60,B1,МИНСКАЯ,КОЛОДИЩИ,Государственное управление,0.4,926170,271.0,0,,2
12840.59,0,15000.0,1996-07-07,Мужской,Высшее,1065.05,60,B3,,Брест,Медицина и здравоохранение,0.4,925791,242.0,0,,2
9384.72,0,11000.0,1990-07-26,Мужской,Высшее,2991.26,60,B1,Минская область,ЧЕРВЕНЬ,Строительство,0.46,621333,275.0,1,,1
7702.68,0,10000.0,1999-10-05,Женский,Высшее,658.83,60,A3,ГОМЕЛЬСКАЯ,РЕЧИЦА,Торговля,0.8,437956,,0,,2
637.41,0,1000.0,1992-10-20,Мужской,Среднее специальное,1183.13,36,C3,Минская область,ЖОДИНО,Торговля,0.23,924880,173.0,3,,1
4265.8,0,5000.0,1989-12-31,Женский,Высшее,1324.8,60,B3,г. Минск,Минск,Торговля,0.6,866377,266.0,1,,1
6718.62,0,8000.0,1974-03-16,Женский,Среднее специальное,936.41,60,B3,Витебская область,ДОБРИНО,Медицина и здравоохранение,0.46,815218,227.0,0,,1
2341.35,0,3000.0,1985-03-14,Мужской,Высшее,2662.05,60,A1,Г. МИНСК,МИНСК,Финансы и страхование,0.39,682222,,1,,1
2375.93,0,3000.0,1986-09-10,Женский,Среднее специальное,832.25,60,B2,ГРОДНЕНСКАЯ,ГРОДНО,Иное,0.31,829843,,0,,2
5837.58,0,6950.0,1990-02-10,Мужской,Среднее,1627.78,60,B2,г. Минск,МИНСК,Торговля,0.4,910595,115.0,0,,2
3970.5,3,5000.0,2001-11-11,Мужской,Среднее,1200.0,60,C2,МИНСКАЯ,КЛЕЦК,Государственное управление,0.23,799852,,1,,1
866.2,0,1000.0,1992-08-09,Мужской,Среднее специальное,1468.48,60,C2,г. Минск,МИНСК,Торговля,0.37,912277,155.0,0,,2
17063.05,0,20000.0,1979-03-31,Мужской,Высшее,2300.84,60,B1,г. Минск,МИНСК,Финансы и страхование,0.39,924358,312.0,1,,2
1629.27,0,3000.0,1979-04-18,Мужской,Среднее специальное,1692.3,24,A2,,Могилев,Услуги населению,0.3,461034,258.0,0,,2
535.96,0,1000.0,2001-04-23,Мужской,Среднее специальное,1202.28,24,,г. Минск,МИНСК,Торговля,0.04,918184,122.0,0,,2
